民國年,行政區,年齡,性別,失業率
105,新北市,55-59歲,女,2.4
105,新北市,60-64歲,男,2.6
105,新北市,60-64歲,女,2.1
105,新北市,65歲以上,男,0.1
105,新北市,65歲以上,女,0
106,新北市,15-24歲,男,8.6
106,新北市,15-24歲,女,10.2
106,新北市,25-29歲,男,7
106,新北市,25-29歲,女,4.5
106,新北市,30-34歲,男,3.7
106,新北市,30-34歲,女,2.2
106,新北市,35-39歲,男,3.3
106,新北市,35-39歲,女,3.2
106,新北市,40-44歲,男,5.3
106,新北市,40-44歲,女,2.2
106,新北市,45-49歲,男,3.5
106,新北市,45-49歲,女,1.4
106,新北市,50-54歲,男,3.7
106,新北市,50-54歲,女,1.7
106,新北市,55-59歲,男,2
106,新北市,55-59歲,女,1.4
106,新北市,60-64歲,男,2.5
106,新北市,60-64歲,女,1.5
106,新北市,65歲以上,男,0
106,新北市,65歲以上,女,0
107,新北市,15-24歲,男,9.2
107,新北市,15-24歲,女,8.8
107,新北市,25-29歲,男,7.4
107,新北市,25-29歲,女,3.1
107,新北市,30-34歲,男,3.9
107,新北市,30-34歲,女,2.8
107,新北市,35-39歲,男,4.2
107,新北市,35-39歲,女,4.2
107,新北市,40-44歲,男,4.1
107,新北市,40-44歲,女,2.9
107,新北市,45-49歲,男,4
107,新北市,45-49歲,女,1.7
107,新北市,50-54歲,男,2.6
107,新北市,50-54歲,女,1.2
107,新北市,55-59歲,男,1.1
107,新北市,55-59歲,女,1
107,新北市,60-64歲,男,3.1
107,新北市,60-64歲,女,1.8
107,新北市,65歲以上,男,0
107,新北市,65歲以上,女,0
108,新北市,15-24歲,男,10.6
108,新北市,15-24歲,女,11
108,新北市,25-29歲,男,6.5
108,新北市,25-29歲,女,6
108,新北市,30-34歲,男,4
108,新北市,30-34歲,女,3.7
108,新北市,35-39歲,男,3.6
108,新北市,35-39歲,女,3.3
108,新北市,40-44歲,男,5
108,新北市,40-44歲,女,2.4
108,新北市,45-49歲,男,2.1
108,新北市,45-49歲,女,0.6
108,新北市,50-54歲,男,3
108,新北市,50-54歲,女,1.2
108,新北市,55-59歲,男,1.8
108,新北市,55-59歲,女,0.4
108,新北市,60-64歲,男,2
108,新北市,60-64歲,女,1.3
108,新北市,65歲以上,男,0.2
108,新北市,65歲以上,女,0.3
109,新北市,15-24歲,男,8.8
109,新北市,15-24歲,女,9
109,新北市,25-29歲,男,7.1
109,新北市,25-29歲,女,6.4
109,新北市,30-34歲,男,4.6
109,新北市,30-34歲,女,3.9
109,新北市,35-39歲,男,3.7
109,新北市,35-39歲,女,4.4
109,新北市,40-44歲,男,3.2
109,新北市,40-44歲,女,2
109,新北市,45-49歲,男,3.1
109,新北市,45-49歲,女,2.2
109,新北市,50-54歲,男,3.3
109,新北市,50-54歲,女,1.8
109,新北市,55-59歲,男,1.5
109,新北市,55-59歲,女,1
109,新北市,60-64歲,男,2.5
109,新北市,60-64歲,女,1.6
109,新北市,65歲以上,男,0.2
109,新北市,65歲以上,女,0.4
110,新北市,15-24歲,男,9.8
110,新北市,15-24歲,女,8
110,新北市,25-29歲,男,6.6
110,新北市,25-29歲,女,6.4
110,新北市,30-34歲,男,4
110,新北市,30-34歲,女,3.9
110,新北市,35-39歲,男,3.4
110,新北市,35-39歲,女,4.2
110,新北市,40-44歲,男,3.6
110,新北市,40-44歲,女,1.7
110,新北市,45-49歲,男,4
110,新北市,45-49歲,女,3
110,新北市,50-54歲,男,2.6
110,新北市,50-54歲,女,2.7
110,新北市,55-59歲,男,3.5
110,新北市,55-59歲,女,2.5
110,新北市,60-64歲,男,3.7
110,新北市,60-64歲,女,1.6
110,新北市,65歲以上,男,0.9
110,新北市,65歲以上,女,0.6
111,新北市,15-24歲,男,12.4
111,新北市,15-24歲,女,12.6
111,新北市,25-29歲,男,5.1
111,新北市,25-29歲,女,6.1
111,新北市,30-34歲,男,4
111,新北市,30-34歲,女,5.5
111,新北市,35-39歲,男,4.6
111,新北市,35-39歲,女,2.1
111,新北市,40-44歲,男,1.7
111,新北市,40-44歲,女,2.7
111,新北市,45-49歲,男,3.2
111,新北市,45-49歲,女,2
111,新北市,50-54歲,男,2.9
111,新北市,50-54歲,女,0.9
111,新北市,55-59歲,男,1.8
111,新北市,55-59歲,女,1.8
111,新北市,60-64歲,男,2
111,新北市,60-64歲,女,0.1
111,新北市,65歲以上,男,0.8
111,新北市,65歲以上,女,0.6
112,新北市,15-24歲,男,10
112,新北市,15-24歲,女,11.2
112,新北市,25-29歲,男,5.4
112,新北市,25-29歲,女,5.8
112,新北市,30-34歲,男,4.4
112,新北市,30-34歲,女,3.3
112,新北市,35-39歲,男,3.7
112,新北市,35-39歲,女,2.6
112,新北市,40-44歲,男,2.8
112,新北市,40-44歲,女,1.5
112,新北市,45-49歲,男,2.8
112,新北市,45-49歲,女,3.2
112,新北市,50-54歲,男,3
112,新北市,50-54歲,女,1
112,新北市,55-59歲,男,2.1
112,新北市,55-59歲,女,2.7
112,新北市,60-64歲,男,1.5
112,新北市,60-64歲,女,1.2
112,新北市,65歲以上,男,0.4
112,新北市,65歲以上,女,0.8
113,新北市,15-24歲,男,10
113,新北市,15-24歲,女,10.2
113,新北市,25-29歲,男,6.3
113,新北市,25-29歲,女,4.7
113,新北市,30-34歲,男,3.6
113,新北市,30-34歲,女,3.9
113,新北市,35-39歲,男,2.6
113,新北市,35-39歲,女,1.7
113,新北市,40-44歲,男,2.5
113,新北市,40-44歲,女,2.9
113,新北市,45-49歲,男,3
113,新北市,45-49歲,女,3.2
113,新北市,50-54歲,男,3
113,新北市,50-54歲,女,2
113,新北市,55-59歲,男,2.4
113,新北市,55-59歲,女,2.1
113,新北市,60-64歲,男,1.5
113,新北市,60-64歲,女,1.7
113,新北市,65歲以上,男,0.1
113,新北市,65歲以上,女,0
