民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,213.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,507.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,247.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三峽區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,260.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,3269.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,1455.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新北市 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,1814.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,137.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,50.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  板橋區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,87.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,76.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,24.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  三重區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,52.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,221.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  男,itemvalue6,是（欄位說明僅存於新北市統計年報）,77.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  女,itemvalue6,是（欄位說明僅存於新北市統計年報）,144.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  計,itemvalue6,是（欄位說明僅存於新北市統計年報）,50.0
