民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,5,新莊區,,,,無年齡維度,0.0,男,自學,未分,94
108,,5,新莊區,,,,無年齡維度,0.0,男,高中,畢業,11122
108,,5,新莊區,,,,無年齡維度,0.0,男,高中,肄業,5641
108,,5,新莊區,,,,無年齡維度,0.0,男,高職,畢業,30295
108,,5,新莊區,,,,無年齡維度,0.0,男,高職,肄業,8350
108,,6,新店區,,,,無年齡維度,0.0,女,不識字,未分,1022
108,,6,新店區,,,,無年齡維度,0.0,女,二專,畢業,9131
108,,6,新店區,,,,無年齡維度,0.0,女,二專,肄業,1145
108,,6,新店區,,,,無年齡維度,0.0,女,五專前三年,肄業,650
108,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,畢業,8082
108,,6,新店區,,,,無年齡維度,0.0,女,五專後二年,肄業,363
108,,6,新店區,,,,無年齡維度,0.0,女,博士,畢業,639
108,,6,新店區,,,,無年齡維度,0.0,女,博士,肄業,304
108,,6,新店區,,,,無年齡維度,0.0,女,國中,畢業,12350
108,,6,新店區,,,,無年齡維度,0.0,女,國中,肄業,1340
108,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),畢業,167
108,,6,新店區,,,,無年齡維度,0.0,女,國中(職業),肄業,27
108,,6,新店區,,,,無年齡維度,0.0,女,國小,畢業,10927
108,,6,新店區,,,,無年齡維度,0.0,女,國小,肄業,1120
108,,6,新店區,,,,無年齡維度,0.0,女,大學,畢業,37818
108,,6,新店區,,,,無年齡維度,0.0,女,大學,肄業,8502
108,,6,新店區,,,,無年齡維度,0.0,女,碩士,畢業,8027
108,,6,新店區,,,,無年齡維度,0.0,女,碩士,肄業,2103
108,,6,新店區,,,,無年齡維度,0.0,女,自學,未分,383
108,,6,新店區,,,,無年齡維度,0.0,女,高中,畢業,11221
108,,6,新店區,,,,無年齡維度,0.0,女,高中,肄業,3607
108,,6,新店區,,,,無年齡維度,0.0,女,高職,畢業,22044
108,,6,新店區,,,,無年齡維度,0.0,女,高職,肄業,2811
108,,6,新店區,,,,無年齡維度,0.0,男,不識字,未分,110
108,,6,新店區,,,,無年齡維度,0.0,男,二專,畢業,7463
108,,6,新店區,,,,無年齡維度,0.0,男,二專,肄業,1543
108,,6,新店區,,,,無年齡維度,0.0,男,五專前三年,肄業,268
108,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,畢業,8485
108,,6,新店區,,,,無年齡維度,0.0,男,五專後二年,肄業,442
108,,6,新店區,,,,無年齡維度,0.0,男,博士,畢業,1490
108,,6,新店區,,,,無年齡維度,0.0,男,博士,肄業,572
108,,6,新店區,,,,無年齡維度,0.0,男,國中,畢業,9764
108,,6,新店區,,,,無年齡維度,0.0,男,國中,肄業,1236
108,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),畢業,86
108,,6,新店區,,,,無年齡維度,0.0,男,國中(職業),肄業,19
108,,6,新店區,,,,無年齡維度,0.0,男,國小,畢業,5066
108,,6,新店區,,,,無年齡維度,0.0,男,國小,肄業,522
108,,6,新店區,,,,無年齡維度,0.0,男,大學,畢業,33895
108,,6,新店區,,,,無年齡維度,0.0,男,大學,肄業,9562
108,,6,新店區,,,,無年齡維度,0.0,男,碩士,畢業,11621
108,,6,新店區,,,,無年齡維度,0.0,男,碩士,肄業,2621
108,,6,新店區,,,,無年齡維度,0.0,男,自學,未分,91
108,,6,新店區,,,,無年齡維度,0.0,男,高中,畢業,9577
108,,6,新店區,,,,無年齡維度,0.0,男,高中,肄業,3679
108,,6,新店區,,,,無年齡維度,0.0,男,高職,畢業,18394
108,,6,新店區,,,,無年齡維度,0.0,男,高職,肄業,4269
108,,7,土城區,,,,無年齡維度,0.0,女,不識字,未分,669
108,,7,土城區,,,,無年齡維度,0.0,女,二專,畢業,5020
108,,7,土城區,,,,無年齡維度,0.0,女,二專,肄業,667
108,,7,土城區,,,,無年齡維度,0.0,女,五專前三年,肄業,498
108,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,畢業,2674
108,,7,土城區,,,,無年齡維度,0.0,女,五專後二年,肄業,154
108,,7,土城區,,,,無年齡維度,0.0,女,博士,畢業,114
108,,7,土城區,,,,無年齡維度,0.0,女,博士,肄業,84
108,,7,土城區,,,,無年齡維度,0.0,女,國中,畢業,9791
108,,7,土城區,,,,無年齡維度,0.0,女,國中,肄業,1102
108,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),畢業,142
108,,7,土城區,,,,無年齡維度,0.0,女,國中(職業),肄業,19
108,,7,土城區,,,,無年齡維度,0.0,女,國小,畢業,8507
108,,7,土城區,,,,無年齡維度,0.0,女,國小,肄業,866
108,,7,土城區,,,,無年齡維度,0.0,女,大學,畢業,17038
108,,7,土城區,,,,無年齡維度,0.0,女,大學,肄業,5276
108,,7,土城區,,,,無年齡維度,0.0,女,碩士,畢業,2481
108,,7,土城區,,,,無年齡維度,0.0,女,碩士,肄業,768
108,,7,土城區,,,,無年齡維度,0.0,女,自學,未分,203
108,,7,土城區,,,,無年齡維度,0.0,女,高中,畢業,4648
108,,7,土城區,,,,無年齡維度,0.0,女,高中,肄業,1985
108,,7,土城區,,,,無年齡維度,0.0,女,高職,畢業,14889
108,,7,土城區,,,,無年齡維度,0.0,女,高職,肄業,2926
108,,7,土城區,,,,無年齡維度,0.0,男,不識字,未分,86
108,,7,土城區,,,,無年齡維度,0.0,男,二專,畢業,4600
108,,7,土城區,,,,無年齡維度,0.0,男,二專,肄業,950
108,,7,土城區,,,,無年齡維度,0.0,男,五專前三年,肄業,309
108,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,畢業,3184
108,,7,土城區,,,,無年齡維度,0.0,男,五專後二年,肄業,227
108,,7,土城區,,,,無年齡維度,0.0,男,博士,畢業,318
108,,7,土城區,,,,無年齡維度,0.0,男,博士,肄業,184
108,,7,土城區,,,,無年齡維度,0.0,男,國中,畢業,9416
108,,7,土城區,,,,無年齡維度,0.0,男,國中,肄業,1147
108,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),畢業,144
108,,7,土城區,,,,無年齡維度,0.0,男,國中(職業),肄業,29
108,,7,土城區,,,,無年齡維度,0.0,男,國小,畢業,5120
108,,7,土城區,,,,無年齡維度,0.0,男,國小,肄業,424
108,,7,土城區,,,,無年齡維度,0.0,男,大學,畢業,14598
108,,7,土城區,,,,無年齡維度,0.0,男,大學,肄業,6108
108,,7,土城區,,,,無年齡維度,0.0,男,碩士,畢業,4086
108,,7,土城區,,,,無年齡維度,0.0,男,碩士,肄業,1102
108,,7,土城區,,,,無年齡維度,0.0,男,自學,未分,64
108,,7,土城區,,,,無年齡維度,0.0,男,高中,畢業,5780
108,,7,土城區,,,,無年齡維度,0.0,男,高中,肄業,2368
108,,7,土城區,,,,無年齡維度,0.0,男,高職,畢業,14160
108,,7,土城區,,,,無年齡維度,0.0,男,高職,肄業,4174
108,,8,蘆洲區,,,,無年齡維度,0.0,女,不識字,未分,543
108,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,畢業,1884
108,,8,蘆洲區,,,,無年齡維度,0.0,女,二專,肄業,341
108,,8,蘆洲區,,,,無年齡維度,0.0,女,五專前三年,肄業,247
108,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,畢業,1139
108,,8,蘆洲區,,,,無年齡維度,0.0,女,五專後二年,肄業,74
108,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,畢業,37
108,,8,蘆洲區,,,,無年齡維度,0.0,女,博士,肄業,20
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,畢業,5510
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國中,肄業,540
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),畢業,24
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國中(職業),肄業,8
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,畢業,4361
108,,8,蘆洲區,,,,無年齡維度,0.0,女,國小,肄業,540
108,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,畢業,7250
108,,8,蘆洲區,,,,無年齡維度,0.0,女,大學,肄業,2462
108,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,畢業,916
108,,8,蘆洲區,,,,無年齡維度,0.0,女,碩士,肄業,351
108,,8,蘆洲區,,,,無年齡維度,0.0,女,自學,未分,81
108,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,畢業,2140
108,,8,蘆洲區,,,,無年齡維度,0.0,女,高中,肄業,849
108,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,畢業,6903
108,,8,蘆洲區,,,,無年齡維度,0.0,女,高職,肄業,1684
108,,8,蘆洲區,,,,無年齡維度,0.0,男,不識字,未分,61
108,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,畢業,1733
108,,8,蘆洲區,,,,無年齡維度,0.0,男,二專,肄業,390
108,,8,蘆洲區,,,,無年齡維度,0.0,男,五專前三年,肄業,111
108,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,畢業,1420
108,,8,蘆洲區,,,,無年齡維度,0.0,男,五專後二年,肄業,138
108,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,畢業,96
108,,8,蘆洲區,,,,無年齡維度,0.0,男,博士,肄業,70
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,畢業,5459
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國中,肄業,638
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),畢業,30
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國中(職業),肄業,14
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,畢業,2806
108,,8,蘆洲區,,,,無年齡維度,0.0,男,國小,肄業,236
108,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,畢業,6517
108,,8,蘆洲區,,,,無年齡維度,0.0,男,大學,肄業,2811
108,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,畢業,1610
108,,8,蘆洲區,,,,無年齡維度,0.0,男,碩士,肄業,491
108,,8,蘆洲區,,,,無年齡維度,0.0,男,自學,未分,44
108,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,畢業,2278
108,,8,蘆洲區,,,,無年齡維度,0.0,男,高中,肄業,1056
108,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,畢業,7128
108,,8,蘆洲區,,,,無年齡維度,0.0,男,高職,肄業,2550
108,,9,樹林區,,,,無年齡維度,0.0,女,不識字,未分,679
108,,9,樹林區,,,,無年齡維度,0.0,女,二專,畢業,2870
108,,9,樹林區,,,,無年齡維度,0.0,女,二專,肄業,445
108,,9,樹林區,,,,無年齡維度,0.0,女,五專前三年,肄業,365
108,,9,樹林區,,,,無年齡維度,0.0,女,五專後二年,畢業,1864
108,,9,樹林區,,,,無年齡維度,0.0,女,五專後二年,肄業,85
108,,9,樹林區,,,,無年齡維度,0.0,女,博士,畢業,113
108,,9,樹林區,,,,無年齡維度,0.0,女,博士,肄業,58
108,,9,樹林區,,,,無年齡維度,0.0,女,國中,畢業,6496
108,,9,樹林區,,,,無年齡維度,0.0,女,國中,肄業,621
108,,9,樹林區,,,,無年齡維度,0.0,女,國中(職業),畢業,48
108,,9,樹林區,,,,無年齡維度,0.0,女,國中(職業),肄業,6
108,,9,樹林區,,,,無年齡維度,0.0,女,國小,畢業,4546
108,,9,樹林區,,,,無年齡維度,0.0,女,國小,肄業,717
