民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  85~89歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,5262.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  90~94歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,1628.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  95~99歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,398.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  100歲以上,itemvalue5,是（欄位說明僅存於新北市統計年報）,97.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  總計,itemvalue6,是（欄位說明僅存於新北市統計年報）,1776818.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  未滿15歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,755775.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  15~19歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,314712.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  20~24歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,307370.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  25~29歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,179599.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  30~34歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,91872.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  35~39歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,49405.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  40~44歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,28759.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  45~49歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,17552.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  50~54歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,8246.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  55~59歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,4231.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  60~64歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,3450.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  65~69歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,3136.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  70~74歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,4763.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  75~79歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,4177.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  80~84歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,2227.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  85~89歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,1128.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  90~94歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,305.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  95~99歲,itemvalue6,是（欄位說明僅存於新北市統計年報）,79.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  100歲以上,itemvalue6,是（欄位說明僅存於新北市統計年報）,32.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  總計,itemvalue7,是（欄位說明僅存於新北市統計年報）,956997.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  未滿15歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,392118.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  15~19歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,163043.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  20~24歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,165143.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  25~29歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,106280.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  30~34歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,56751.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  35~39歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,29317.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  40~44歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,16036.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  45~49歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,8757.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  50~54歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,3858.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  55~59歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,2262.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  60~64歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,1942.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  65~69歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,2049.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  70~74歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,3712.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  75~79歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,3221.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  80~84歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,1602.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  85~89歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,690.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  90~94歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,166.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  95~99歲,itemvalue7,是（欄位說明僅存於新北市統計年報）,32.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  100歲以上,itemvalue7,是（欄位說明僅存於新北市統計年報）,18.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  總計,itemvalue8,是（欄位說明僅存於新北市統計年報）,819821.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  未滿15歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,363657.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  15~19歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,151669.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  20~24歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,142227.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  25~29歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,73319.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  30~34歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,35121.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  35~39歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,20088.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  40~44歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,12723.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  45~49歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,8795.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  50~54歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,4388.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  55~59歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,1969.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  60~64歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,1508.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  65~69歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,1087.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  70~74歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,1051.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  75~79歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,956.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  80~84歲,itemvalue8,是（欄位說明僅存於新北市統計年報）,625.0
