來源主題,原始標籤,年齡下限,年齡上限,與18-35關係,青年權重
02b_教育程度_含年齡,100歲以上,100,120,不相關,0.0
03_婚姻,未滿15歲,0,14,不相關,0.0
03_婚姻,15~19歲,15,19,部分重疊,0.4
03_婚姻,20~24歲,20,24,完全落入,1.0
03_婚姻,25~29歲,25,29,完全落入,1.0
03_婚姻,30~34歲,30,34,完全落入,1.0
03_婚姻,35~39歲,35,39,部分重疊,0.2
03_婚姻,40~44歲,40,44,不相關,0.0
03_婚姻,45~49歲,45,49,不相關,0.0
03_婚姻,50~54歲,50,54,不相關,0.0
03_婚姻,55~59歲,55,59,不相關,0.0
03_婚姻,60~64歲,60,64,不相關,0.0
03_婚姻,65~69歲,65,69,不相關,0.0
03_婚姻,70~74歲,70,74,不相關,0.0
03_婚姻,75~79歲,75,79,不相關,0.0
03_婚姻,80~84歲,80,84,不相關,0.0
03_婚姻,85~89歲,85,89,不相關,0.0
03_婚姻,90~94歲,90,94,不相關,0.0
03_婚姻,95~99歲,95,99,不相關,0.0
03_婚姻,100歲以上,100,120,不相關,0.0
05_初設戶籍,0歲,0,0,不相關,0.0
05_初設戶籍,1歲,1,1,不相關,0.0
05_初設戶籍,2歲,2,2,不相關,0.0
05_初設戶籍,3歲,3,3,不相關,0.0
05_初設戶籍,4歲,4,4,不相關,0.0
05_初設戶籍,5歲,5,5,不相關,0.0
05_初設戶籍,6歲,6,6,不相關,0.0
05_初設戶籍,7歲,7,7,不相關,0.0
05_初設戶籍,8歲,8,8,不相關,0.0
05_初設戶籍,9歲,9,9,不相關,0.0
05_初設戶籍,10歲,10,10,不相關,0.0
05_初設戶籍,11歲,11,11,不相關,0.0
05_初設戶籍,12歲,12,12,不相關,0.0
05_初設戶籍,13歲,13,13,不相關,0.0
05_初設戶籍,14歲,14,14,不相關,0.0
05_初設戶籍,15歲,15,15,不相關,0.0
05_初設戶籍,16歲,16,16,不相關,0.0
05_初設戶籍,17歲,17,17,不相關,0.0
05_初設戶籍,18歲,18,18,完全落入,1.0
05_初設戶籍,19歲,19,19,完全落入,1.0
05_初設戶籍,20歲,20,20,完全落入,1.0
05_初設戶籍,21歲,21,21,完全落入,1.0
05_初設戶籍,22歲,22,22,完全落入,1.0
05_初設戶籍,23歲,23,23,完全落入,1.0
05_初設戶籍,24歲,24,24,完全落入,1.0
05_初設戶籍,25歲,25,25,完全落入,1.0
05_初設戶籍,26歲,26,26,完全落入,1.0
05_初設戶籍,27歲,27,27,完全落入,1.0
05_初設戶籍,28歲,28,28,完全落入,1.0
05_初設戶籍,29歲,29,29,完全落入,1.0
05_初設戶籍,30歲,30,30,完全落入,1.0
05_初設戶籍,31歲,31,31,完全落入,1.0
05_初設戶籍,32歲,32,32,完全落入,1.0
05_初設戶籍,33歲,33,33,完全落入,1.0
05_初設戶籍,34歲,34,34,完全落入,1.0
05_初設戶籍,35歲,35,35,完全落入,1.0
05_初設戶籍,36歲,36,36,不相關,0.0
05_初設戶籍,37歲,37,37,不相關,0.0
05_初設戶籍,38歲,38,38,不相關,0.0
05_初設戶籍,39歲,39,39,不相關,0.0
05_初設戶籍,40歲,40,40,不相關,0.0
05_初設戶籍,41歲,41,41,不相關,0.0
05_初設戶籍,42歲,42,42,不相關,0.0
05_初設戶籍,43歲,43,43,不相關,0.0
05_初設戶籍,44歲,44,44,不相關,0.0
05_初設戶籍,45歲,45,45,不相關,0.0
05_初設戶籍,46歲,46,46,不相關,0.0
05_初設戶籍,47歲,47,47,不相關,0.0
05_初設戶籍,48歲,48,48,不相關,0.0
05_初設戶籍,49歲,49,49,不相關,0.0
05_初設戶籍,50歲,50,50,不相關,0.0
05_初設戶籍,51歲,51,51,不相關,0.0
05_初設戶籍,52歲,52,52,不相關,0.0
05_初設戶籍,53歲,53,53,不相關,0.0
05_初設戶籍,54歲,54,54,不相關,0.0
05_初設戶籍,55歲,55,55,不相關,0.0
05_初設戶籍,56歲,56,56,不相關,0.0
05_初設戶籍,57歲,57,57,不相關,0.0
05_初設戶籍,58歲,58,58,不相關,0.0
05_初設戶籍,59歲,59,59,不相關,0.0
05_初設戶籍,60歲,60,60,不相關,0.0
05_初設戶籍,61歲,61,61,不相關,0.0
05_初設戶籍,62歲,62,62,不相關,0.0
05_初設戶籍,63歲,63,63,不相關,0.0
05_初設戶籍,64歲,64,64,不相關,0.0
05_初設戶籍,65歲,65,65,不相關,0.0
05_初設戶籍,66歲,66,66,不相關,0.0
05_初設戶籍,67歲,67,67,不相關,0.0
05_初設戶籍,68歲,68,68,不相關,0.0
05_初設戶籍,69歲,69,69,不相關,0.0
05_初設戶籍,70歲,70,70,不相關,0.0
05_初設戶籍,71歲,71,71,不相關,0.0
05_初設戶籍,72歲,72,72,不相關,0.0
05_初設戶籍,73歲,73,73,不相關,0.0
05_初設戶籍,74歲,74,74,不相關,0.0
05_初設戶籍,75歲,75,75,不相關,0.0
05_初設戶籍,76歲,76,76,不相關,0.0
05_初設戶籍,77歲,77,77,不相關,0.0
05_初設戶籍,78歲,78,78,不相關,0.0
05_初設戶籍,79歲,79,79,不相關,0.0
05_初設戶籍,80歲,80,80,不相關,0.0
05_初設戶籍,81歲,81,81,不相關,0.0
05_初設戶籍,82歲,82,82,不相關,0.0
05_初設戶籍,83歲,83,83,不相關,0.0
05_初設戶籍,84歲,84,84,不相關,0.0
05_初設戶籍,85歲,85,85,不相關,0.0
05_初設戶籍,86歲,86,86,不相關,0.0
05_初設戶籍,87歲,87,87,不相關,0.0
05_初設戶籍,88歲,88,88,不相關,0.0
05_初設戶籍,89歲,89,89,不相關,0.0
05_初設戶籍,90歲,90,90,不相關,0.0
05_初設戶籍,91歲,91,91,不相關,0.0
05_初設戶籍,92歲,92,92,不相關,0.0
05_初設戶籍,93歲,93,93,不相關,0.0
05_初設戶籍,94歲,94,94,不相關,0.0
05_初設戶籍,95歲,95,95,不相關,0.0
05_初設戶籍,96歲,96,96,不相關,0.0
05_初設戶籍,97歲,97,97,不相關,0.0
05_初設戶籍,98歲,98,98,不相關,0.0
05_初設戶籍,99歲,99,99,不相關,0.0
05_初設戶籍,100歲以上,100,120,不相關,0.0
06_婚育事件,未滿15歲,0,14,不相關,0.0
06_婚育事件,15～19歲,15,19,部分重疊,0.4
06_婚育事件,20～24歲,20,24,完全落入,1.0
06_婚育事件,25～29歲,25,29,完全落入,1.0
06_婚育事件,30～34歲,30,34,完全落入,1.0
06_婚育事件,35～39歲,35,39,部分重疊,0.2
06_婚育事件,40～44歲,40,44,不相關,0.0
06_婚育事件,45～49歲,45,49,不相關,0.0
06_婚育事件,50～54歲,50,54,不相關,0.0
06_婚育事件,55～59歲,55,59,不相關,0.0
06_婚育事件,60～64歲,60,64,不相關,0.0
06_婚育事件,65歲以上,65,120,不相關,0.0
