"year","roc_year","district_code","district","status","people"
"2023","112","3","中和區","有偶","23954"
"2023","112","3","中和區","未婚","89209"
"2023","112","3","中和區","離婚","3233"
"2023","112","4","永和區","喪偶","25"
"2023","112","4","永和區","有偶","10776"
"2023","112","4","永和區","未婚","45190"
"2023","112","4","永和區","離婚","1204"
"2023","112","5","新莊區","喪偶","100"
"2023","112","5","新莊區","有偶","30819"
"2023","112","5","新莊區","未婚","99535"
"2023","112","5","新莊區","離婚","4118"
"2023","112","6","新店區","喪偶","56"
"2023","112","6","新店區","有偶","17590"
"2023","112","6","新店區","未婚","65993"
"2023","112","6","新店區","離婚","2276"
"2023","112","7","土城區","喪偶","49"
"2023","112","7","土城區","有偶","12719"
"2023","112","7","土城區","未婚","43138"
"2023","112","7","土城區","離婚","1967"
"2023","112","8","蘆洲區","喪偶","41"
"2023","112","8","蘆洲區","有偶","7115"
"2023","112","8","蘆洲區","未婚","21201"
"2023","112","8","蘆洲區","離婚","1169"
"2023","112","9","樹林區","喪偶","26"
"2023","112","9","樹林區","有偶","8162"
"2023","112","9","樹林區","未婚","27115"
"2023","112","9","樹林區","離婚","1422"
"2023","112","10","鶯歌區","喪偶","36"
"2023","112","10","鶯歌區","有偶","13290"
"2023","112","10","鶯歌區","未婚","41473"
"2023","112","10","鶯歌區","離婚","1781"
"2023","112","11","三峽區","喪偶","40"
"2023","112","11","三峽區","有偶","13245"
"2023","112","11","三峽區","未婚","47372"
"2023","112","11","三峽區","離婚","1936"
"2023","112","12","淡水區","喪偶","13"
"2023","112","12","淡水區","有偶","2181"
"2023","112","12","淡水區","未婚","7861"
"2023","112","12","淡水區","離婚","548"
"2023","112","13","汐止區","喪偶","71"
"2023","112","13","汐止區","有偶","17525"
"2023","112","13","汐止區","未婚","57110"
"2023","112","13","汐止區","離婚","2633"
"2023","112","14","瑞芳區","喪偶","43"
"2023","112","14","瑞芳區","有偶","13525"
"2023","112","14","瑞芳區","未婚","50271"
"2023","112","14","瑞芳區","離婚","2058"
"2023","112","15","五股區","喪偶","20"
"2023","112","15","五股區","有偶","7655"
"2023","112","15","五股區","未婚","22544"
"2023","112","15","五股區","離婚","1232"
"2023","112","16","泰山區","喪偶","21"
