"year","roc_year","month","district_code","district","total_population","youth_population","male_youth","female_youth","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39"
"2016","105","12","14","瑞芳區","40600","13473","6952","6521","2205","2772","2826","2774","2896"
"2016","105","12","15","五股區","84134","32749","16809","15940","5635","6711","6330","6640","7433"
"2016","105","12","16","泰山區","78817","30140","15323","14817","4946","5438","5367","6295","8094"
"2016","105","12","17","林口區","103219","37095","18098","18997","6728","6838","6472","7265","9792"
"2016","105","12","18","八里區","38167","14160","7108","7052","2479","3032","2732","2841","3076"
"2016","105","12","19","深坑區","23683","8392","4403","3989","1474","1850","1693","1583","1792"
"2016","105","12","20","石碇區","7736","2300","1184","1116","469","466","419","446","500"
"2016","105","12","21","坪林區","6538","1833","988","845","363","375","366","338","391"
"2016","105","12","22","三芝區","23369","7989","4203","3786","1470","1808","1536","1518","1657"
"2016","105","12","23","石門區","12496","4581","2318","2263","755","980","852","901","1093"
"2016","105","12","24","金山區","22207","7968","3833","4135","1344","1661","1427","1593","1943"
"2016","105","12","25","萬里區","22490","7247","3591","3656","1179","1398","1411","1487","1772"
"2016","105","12","26","平溪區","4778","1033","561","472","141","190","210","220","272"
"2016","105","12","27","雙溪區","9074","2471","1277","1194","378","537","466","496","594"
"2016","105","12","28","貢寮區","12706","3615","1841","1774","580","707","658","755","915"
"2016","105","12","29","烏來區","6212","2282","1146","1136","364","475","450","481","512"
"2018","107","12","0","New Taipei City","3995717","1379351","702780","676571","215440","258854","276502","281478","347077"
"2018","107","12","1","板橋區","554742","189840","96401","93439","29096","32604","36322","40267","51551"
"2018","107","12","2","三重區","385826","134827","69175","65652","20057","24073","27107","28833","34757"
"2018","107","12","3","中和區","412486","136761","69878","66883","19903","24280","26772","29120","36686"
"2018","107","12","4","永和區","221098","67566","33936","33630","11198","12811","13186","13535","16836"
"2018","107","12","5","新莊區","417754","154265","77985","76280","23899","28148","30735","32085","39398"
"2018","107","12","6","新店區","302231","95516","48294","47222","14449","19036","20158","19507","22366"
"2018","107","12","7","土城區","236901","88399","45649","42750","13254","16984","18600","18351","21210"
"2018","107","12","8","蘆洲區","201332","75525","38729","36796","12454","14942","15744","14892","17493"
"2018","107","12","9","樹林區","183946","68061","34903","33158","10925","12708","13639","13729","17060"
"2018","107","12","10","鶯歌區","86361","32155","16742","15413","5389","6178","6388","6432","7768"
"2018","107","12","11","三峽區","115820","41008","20929","20079","7266","8324","8203","7807","9408"
"2018","107","12","12","淡水區","173502","56809","28698","28111","8712","10867","11513","11321","14396"
"2018","107","12","13","汐止區","200535","66788","34218","32570","10585","13776","13725","12586","16116"
"2018","107","12","14","瑞芳區","39982","12887","6679","6208","2080","2509","2829","2586","2883"
"2018","107","12","15","五股區","86329","32369","16693","15676","5083","6554","6705","6328","7699"
"2018","107","12","16","泰山區","78708","28182","14352","13830","4623","5202","5298","5479","7580"
"2018","107","12","17","林口區","110081","37260","18310","18950","6365","7058","6874","7170","9793"
"2018","107","12","18","八里區","38906","13893","6984","6909","2339","2889","2858","2671","3136"
"2018","107","12","19","深坑區","23634","8109","4316","3793","1360","1762","1785","1467","1735"
"2018","107","12","20","石碇區","7731","2236","1150","1086","426","473","433","420","484"
"2018","107","12","21","坪林區","6612","1802","957","845","320","406","380","343","353"
"2018","107","12","22","三芝區","22978","7573","3974","3599","1284","1697","1591","1377","1624"
"2018","107","12","23","石門區","12115","4294","2193","2101","722","909","853","778","1032"
"2018","107","12","24","金山區","21774","7437","3603","3834","1197","1537","1539","1373","1791"
